,Justice,Média,Police,AN,Science,Administration,Entreprises,Associations,Gouvernement,Agences,Médecins,Sénat
841,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0
842,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
843,2.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0
844,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
845,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
846,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0
847,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0
848,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0
849,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
850,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0
851,4.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0
852,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0
853,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0
854,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
855,5.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0
856,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0
857,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0
858,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
859,4.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0
860,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
861,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
862,4.0,5.0,5.0,5.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,5.0
863,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0
864,5.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0
865,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
866,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0
867,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0
868,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
869,2.0,5.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0
870,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
