,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
353,Un homme,44.0,1,0,-1,0,0,0,0
354,Un homme,59.0,1,1,1,1,-2,2,2
355,Une femme,61.0,1,2,1,0,1,1,1
356,Une femme,70.0,1,2,2,1,1,-1,2
357,Un homme,22.0,1,1,1,1,2,1,1
358,Un homme,21.0,-1,2,2,0,-2,2,2
359,Un homme,39.0,-1,1,2,2,1,2,1
360,Une femme,23.0,1,1,1,1,-1,2,2
361,Une femme,47.0,-1,-1,-1,1,1,1,1
362,Une femme,62.0,1,1,1,-1,-1,1,1
363,Une femme,34.0,2,0,0,-1,-1,1,2
364,Une femme,75.0,2,1,1,1,1,1,2
365,Une femme,66.0,-1,1,1,-1,-1,0,1
366,Une femme,23.0,1,1,1,1,1,1,1
367,Un homme,24.0,1,1,1,1,1,1,2
368,Une femme,51.0,1,1,1,1,1,1,1
369,Une femme,78.0,2,1,1,1,1,2,2
370,Une femme,52.0,1,1,1,1,1,1,-1
371,Une femme,75.0,1,1,1,1,1,1,1
372,Une femme,24.0,-1,2,1,2,2,2,1
373,Un homme,71.0,1,1,1,1,-1,1,1
374,Une femme,44.0,0,0,0,0,0,0,1
375,Un homme,56.0,1,1,2,1,1,-1,2
376,Une femme,75.0,1,-1,2,-1,-1,2,2
377,Une femme,47.0,1,1,2,2,2,-1,2
378,Une femme,27.0,-1,0,1,0,0,-1,-1
379,Un homme,67.0,1,1,1,1,1,1,1
380,Un homme,31.0,0,0,0,0,0,0,0
381,Un homme,34.0,1,1,1,1,-1,1,1
382,Une femme,60.0,-1,1,1,1,1,1,1
383,Une femme,51.0,-2,-1,1,1,-1,-1,1
384,Un homme,33.0,1,-1,1,1,1,-1,-1
385,Une femme,61.0,1,1,1,-1,-2,-1,-1
386,Un homme,48.0,1,1,1,1,-1,1,1
387,Un homme,31.0,-1,1,-1,1,-1,-1,-2
388,Une femme,23.0,-1,1,2,2,2,2,2
389,Une femme,65.0,1,1,2,1,1,-1,-1
390,Un homme,64.0,2,-2,2,2,-2,-2,2
391,Un homme,24.0,2,1,2,-1,-1,1,-1
392,Un homme,68.0,2,1,1,1,1,1,1
393,Un homme,46.0,0,-1,1,0,-1,0,-1
394,Un homme,66.0,1,1,1,1,1,1,1
395,Une femme,48.0,0,0,0,0,0,0,0
396,Une femme,41.0,-1,-1,-1,-1,-1,-1,-1
397,Une femme,49.0,1,-1,2,-1,1,-1,1
398,Un homme,78.0,2,-1,1,1,2,1,2
399,Une femme,41.0,1,1,-1,-1,-1,1,1
400,Une femme,81.0,1,1,1,1,1,1,1
401,Une femme,34.0,-1,1,1,-1,1,1,1
402,Une femme,56.0,1,1,0,1,1,1,0
403,Une femme,31.0,1,-1,1,-1,-1,2,1
404,Un homme,37.0,1,-1,2,-1,-1,1,-1
405,Une femme,35.0,1,1,1,-1,-1,2,1
406,Un homme,27.0,0,1,2,1,1,1,0
407,Une femme,27.0,1,1,1,1,1,1,1
408,Un homme,24.0,1,1,1,1,1,1,1
409,Une femme,69.0,1,0,1,0,1,1,0
410,Un homme,55.0,0,0,0,0,0,0,0
411,Un homme,52.0,2,2,1,-1,1,1,1
412,Une femme,28.0,1,2,2,1,1,2,1
413,Une femme,20.0,1,1,1,2,1,1,2
414,Une femme,58.0,2,-1,2,1,1,2,-1
415,Une femme,83.0,2,2,2,2,1,1,2
416,Une femme,52.0,-1,2,1,2,1,-1,1
417,Un homme,70.0,2,1,-1,-2,1,-1,2
418,Une femme,45.0,2,-1,1,-1,-1,1,1
419,Une femme,32.0,1,-1,1,-1,-1,1,1
420,Une femme,60.0,1,1,-1,1,1,2,2
421,Un homme,54.0,1,-1,1,-1,-1,1,1
422,Une femme,46.0,1,-1,1,1,1,1,1
423,Un homme,43.0,1,1,1,-1,1,1,1
424,Une femme,36.0,-1,-1,1,1,0,1,1
425,Une femme,26.0,0,0,0,0,0,0,0
426,Une femme,67.0,1,1,1,1,1,1,1
427,Une femme,30.0,0,0,0,0,0,0,0
428,Une femme,24.0,0,0,0,0,0,0,0
429,Un homme,59.0,-2,-2,-2,-2,-2,-2,-2
430,Une femme,48.0,1,1,1,-1,0,1,0
431,Un homme,42.0,1,2,0,1,1,0,-1
432,Un homme,40.0,1,1,2,1,-1,1,-1
433,Un homme,50.0,-1,1,-1,-2,-2,-1,1
434,Une femme,39.0,1,1,1,1,1,1,1
435,Une femme,54.0,1,1,1,-1,-1,-1,2
436,Un homme,77.0,1,-2,-1,-2,-1,-1,-1
437,Un homme,52.0,1,1,1,1,1,-1,1
438,Un homme,80.0,1,1,1,-1,-1,2,2
439,Une femme,24.0,2,1,-1,1,2,1,1
440,Une femme,67.0,-1,-1,1,1,-1,1,1
441,Un homme,79.0,0,1,1,1,1,0,1
442,Un homme,42.0,1,1,1,1,1,-1,1
443,Une femme,32.0,1,0,0,0,-1,-1,2
444,Une femme,52.0,1,1,0,-1,-2,-1,0
445,Une femme,30.0,2,-1,2,-2,-2,2,2
446,Un homme,27.0,1,1,1,2,-1,1,-2
447,Une femme,71.0,2,2,2,2,2,2,2
448,Un homme,49.0,1,0,2,0,0,0,0
